年,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,出勤日数,前月末労働者数,増加労働者数,減少労働者数,本月末労働者数
1993,469766,338908.0,303076.0,35832.0,130858.0,163.2,149.5,13.7,19.2,2671075.0,22922.0,27286.0,2666746.0
1994,477344,347256.0,310720.0,36536.0,130088.0,162.7,149.0,13.7,19.2,2614214.0,18894.0,24703.0,2608322.0
1995,496154,359119.0,318144.0,40975.0,137035.0,163.7,148.5,15.2,19.2,2555735.0,18176.0,24870.0,2549247.0
1996,510211,370595.0,325038.0,45557.0,139616.0,164.7,147.9,16.8,19.2,2479825.0,19097.0,24471.0,2474476.0
1997,529972,382708.0,332176.0,50532.0,147264.0,165.8,147.4,18.4,19.1,2429833.0,20882.0,24371.0,2426426.0
1998,525309,382648.0,337465.0,45183.0,142661.0,163.7,147.7,16.0,19.1,2391788.0,19866.0,23697.0,2387878.0
1999,522694,385786.0,341505.0,44281.0,136908.0,162.6,147.1,15.5,19.0,2266171.0,17994.0,24425.0,2259709.0
2000,536125,395715.0,345921.0,49794.0,140410.0,165.2,147.7,17.5,19.1,2196647.0,16439.0,22963.0,2190134.0
2001,539556,396140.0,348896.0,47244.0,143416.0,163.1,146.9,16.2,19.0,2126138.0,16005.0,22917.0,2119246.0
2002,528902,398246.0,348375.0,49871.0,130656.0,164.0,146.5,17.5,19.0,2027224.0,16617.0,25793.0,2018056.0
2003,542886,406148.0,351446.0,54702.0,136738.0,166.2,146.8,19.4,19.1,1922176.0,15269.0,21430.0,1916020.0
2004,551512,408724.0,351082.0,57642.0,142788.0,168.6,147.8,20.8,19.2,1701771.0,16089.0,17339.0,1700536.0
2005,554083,408138.0,350992.0,57146.0,145945.0,167.8,147.1,20.7,19.0,1697361.0,16829.0,16958.0,1697237.0
2006,559227,408967.0,350972.0,57995.0,150260.0,169.3,148.0,21.3,19.1,1730711.0,17792.0,16460.0,1732082.0
2007,558947,407973.0,350292.0,57681.0,150974.0,169.0,147.5,21.5,19.0,1753458.0,18122.0,17291.0,1754328.0
2008,554225,402949.0,349138.0,53811.0,151276.0,166.5,146.8,19.7,18.9,1824163.0,20304.0,17593.0,1826875.0
2009,492573,374979.0,340754.0,34225.0,117594.0,156.3,144.0,12.3,18.5,1794145.0,18569.0,19924.0,1792792.0
2010,515983,390211.0,343602.0,46609.0,125772.0,164.5,147.3,17.2,18.9,1783454.0,16135.0,16493.0,1783082.0
2011,526415,391557.0,344929.0,46628.0,134858.0,162.8,145.8,17.0,18.7,1791287.0,17095.0,17045.0,1791395.0
2012,518194,393509.0,345785.0,47724.0,124685.0,165.2,147.5,17.7,19.0,1853287.0,17222.0,19602.0,1850903.0
2013,523106,395333.0,346049.0,49284.0,127773.0,164.9,146.3,18.6,18.8,1851098.0,16733.0,18629.0,1849192.0
2014,542458,402623.0,350176.0,52447.0,139835.0,165.9,146.2,19.7,18.8,1850127.0,15933.0,17270.0,1848782.0
2015,543196,401079.0,346859.0,54220.0,142117.0,166.6,146.4,20.2,18.9,1845261.0,16901.0,17450.0,1844760.0
2016,541348,401833.0,347879.0,53954.0,139515.0,166.7,146.8,19.9,18.9,1881646.0,17542.0,16809.0,1882398.0
2017,545231,403544.0,348961.0,54583.0,141687.0,166.9,146.8,20.1,18.9,1926762.0,16725.0,16616.0,1926891.0
2018,557126,408679.0,353462.0,55217.0,148447.0,166.5,146.2,20.3,18.8,1784029.0,16940.0,15650.0,1785392.0
2019,552113,406009.0,353074.0,52935.0,146104.0,164.3,144.8,19.5,18.6,1821917.0,16853.0,16188.0,1822593.0
2020,530805,396774.0,353137.0,43637.0,134031.0,159.6,143.7,15.9,18.5,1857582.0,16202.0,16212.0,1857579.0
2021,544773,407184.0,358276.0,48908.0,137589.0,162.3,144.4,17.9,18.6,1860906.0,14727.0,16461.0,1859195.0
2022,561541,410176.0,361027.0,49149.0,151365.0,162.3,144.1,18.2,18.5,1737415.0,13689.0,14242.0,1736881.0
2023,567571,416052.0,366679.0,49373.0,151519.0,162.7,144.6,18.1,18.6,1748412.0,14730.0,14316.0,1748845.0
2024,591929,429763.0,379377.0,50386.0,162166.0,161.4,143.8,17.6,18.5,1682932.0,14543.0,14617.0,1682873.0
