ê¢ë—êlàıÇPêlìñÇΩÇËâ¬èàï™èäìæã‡äzäKãâ,ëçêî,ÇQÇXçŒà»â∫,ÇRÇOÅ`ÇRÇXçŒ,ÇSÇOÅ`ÇSÇX,ÇTÇOÅ`ÇTÇX,ÇUÇOÅ`ÇUÇX,ÇVÇOÅ`ÇVÇX,ÇWÇOçŒà»è„,ÇUÇTçŒà»è„,ÇVÇTçŒà»è„
Å@ÇTÇOñúâ~ñ¢ñû,175,11,9,20,33,34,35,33,81,49
Å@ÇTÇOÅ`Å@ÇPÇOÇO,541,25,28,45,47,86,161,149,356,225
Å@ÇPÇOÇOÅ`Å@ÇPÇTÇO,851,18,38,81,109,143,265,197,552,320
Å@ÇPÇTÇOÅ`Å@ÇQÇOÇO,696,16,42,62,93,124,208,151,419,252
Å@ÇQÇOÇOÅ`Å@ÇQÇTÇO,478,19,26,58,84,98,123,70,256,125
Å@ÇQÇTÇOÅ`Å@ÇRÇOÇO,296,15,20,24,70,81,56,30,127,51
Å@ÇRÇOÇOÅ`Å@ÇRÇTÇO,188,10,15,26,54,40,33,10,67,24
Å@ÇRÇTÇOÅ`Å@ÇSÇOÇO,142,10,14,22,42,28,19,7,36,13
Å@ÇSÇOÇOÅ`Å@ÇSÇTÇO,81,3,11,19,19,15,10,4,21,6
Å@ÇSÇTÇOÅ`Å@ÇTÇOÇO,52,3,8,3,20,13,5,-,9,2
Å@ÇTÇOÇOÅ`Å@ÇUÇOÇO,71,1,9,11,22,21,6,1,14,4
Å@ÇUÇOÇOÅ`Å@ÇVÇOÇO,49,-,2,5,23,13,4,2,12,3
Å@ÇVÇOÇOÅ`Å@ÇWÇOÇO,33,-,2,5,15,9,1,1,6,1
Å@ÇWÇOÇOÅ`Å@ÇXÇOÇO,13,-,-,3,4,2,2,2,4,2
Å@ÇXÇOÇOÅ`ÇPÇOÇOÇO,2,-,-,-,-,1,-,1,1,1
Å@ÇPÇOÇOÇOñúâ~à»è„,17,-,-,2,5,5,1,4,6,4
